Lat,Lon
40.495759,-80.066508
40.545418,-80.194152
40.510522,-80.094268
41.203322,-77.194525
40.553281,-80.109158
40.367923,-79.780429
40.494177,-80.267208
40.370214,-79.913195
40.440641,-80.149132
40.529076,-80.025577
40.590622,-79.948086
40.416874,-79.839453
40.552928,-80.115508
40.396638,-77.026583
40.442813,-80.001884
40.41739,-79.986525
40.407271,-79.875462
40.426703,-79.788569
40.340154,-79.859937
40.430917,-80.001402
40.501336,-80.067941
40.540809,-79.807543
40.455264,-79.888216
40.540405,-80.036133
40.477508,-79.75943
40.290634,-79.883992
40.293214,-79.88689
40.386385,-79.902763
40.38845,-79.90976
40.427102,-79.938593
40.279791,-80.001782
47.15441,-2.172958
40.276563,-79.878044
40.430663,-79.884352
40.478135,-80.000449
40.336174,-79.972625
40.374467,-79.975539
40.404138,-79.861887
40.455308,-79.931608
40.518217,-80.222543
40.427276,-79.836019
40.457119,-79.877698
40.380961,-79.8115
40.595044,-79.76881
40.407623,-79.909613
40.349519,-79.891481
40.367213,-79.984027
40.559221,-80.437686
40.513271,-80.030768
40.358373,-79.831701
40.510927,-79.993984
40.406902,-80.087614
40.444199,-79.995537
40.307385,-79.935894
40.351443,-79.857948
40.35267,-79.825732
40.403354,-80.089813
40.44133,-79.877715
40.351125,-79.863412
40.441932,-80.001828
40.420651,-79.885465
40.44356,-79.969922
40.432851,-79.914965
40.509195,-80.029331
40.363956,-80.086425
40.443558,-79.884328
40.380538,-80.04456
40.457254,-79.925206
40.471469,-79.986604
40.403187,-79.90342
40.642437,-79.710438
40.450358,-79.985099
40.434846,-79.73331
40.450809,-80.199382
40.431433,-79.861903
40.428336,-79.973438
40.397285,-79.768965
40.502514,-79.810806
40.351981,-79.859689
40.516752,-79.959009
40.674019,-80.098542
40.434829,-80.06553
40.464292,-79.930226
40.355489,-80.050351
40.363119,-80.027195
40.616571,-80.09131
40.325977,-79.892457
40.344889,-79.837515
40.292972,-79.874705
40.342269,-79.871278
40.464324,-79.982206
40.571307,-79.799218
40.368776,-80.037105
40.39224,-80.015038
40.38276,-79.856971
40.548903,-79.913913
40.451423,-80.134188
40.559163,-79.959751
40.328839,-79.945503
40.374361,-79.846658
40.442577,-80.186135
40.538256,-79.961617
40.442116,-80.201258
40.63553,-79.939082
40.614349,-79.946668
40.43959,-80.093571
40.448456,-80.142616
40.443867,-80.174208
40.501443,-80.175698
40.612704,-80.054105
40.39374,-80.020522
40.367305,-79.779211
40.441242,-79.958758
40.465482,-80.068211
40.478808,-79.951957
40.44043,-79.99488
40.442605,-80.000205
40.439202,-79.998948
40.527563,-79.988854
40.408809,-79.819096
40.50398,-79.948659
40.5173,-80.148322
40.418082,-80.045137
40.46957,-80.100321
40.321948,-79.994895
40.443016,-79.95494
40.328211,-80.125669
40.581679,-80.056061
40.451235,-80.019102
40.655507,-80.086794
40.440324,-80.00103
40.27325,-79.896205
40.594933,-79.993623
40.416791,-80.044676
40.445258,-80.066088
40.363734,-79.967563
40.436402,-79.95436
40.435709,-79.882673
40.444968,-79.971576
40.442818,-79.980847
40.457262,-80.006901
40.438518,-79.979264
40.456775,-79.968396
40.457244,-80.009625
40.566346,-79.999275
40.397648,-79.902718
40.614788,-80.098656
40.487385,-79.919823
40.32561,-79.839633
40.310955,-79.824816
40.463141,-79.824297
40.448314,-79.975214
40.472941,-80.074361
40.515253,-80.045024
40.267835,-79.812587
40.482373,-79.809518
40.341159,-79.848683
40.454003,-79.895663
40.455278,-79.989036
40.373971,-80.133093
40.403331,-79.868202
40.503809,-80.075415
40.506003,-80.007421
40.437655,-79.995074
40.428206,-79.974793
40.472971,-80.07416
40.633564,-79.713801
40.462645,-79.95682
40.452448,-80.133194
40.395391,-79.986501
40.490782,-79.971815
40.489314,-79.882457
40.351205,-79.86532
40.495669,-80.00773
40.402949,-80.041463
40.426943,-79.890856
40.42596,-79.8345
40.436011,-79.773069
40.437049,-79.873803
40.46921,-80.068713
40.467589,-80.067325
40.475878,-79.91957
40.440491,-80.00349
40.4158,-79.987353
40.492315,-80.0217
40.478309,-79.956214
40.50358,-79.937308
40.417017,-79.975536
40.363565,-80.086297
40.471598,-80.02729
40.494777,-79.936723
40.467553,-79.964223
40.441153,-80.240396
40.43978,-80.000753
40.392358,-80.017326
40.383403,-79.977468
40.327631,-80.031909
40.357225,-80.110748
40.429065,-79.874667
40.37061,-79.974834
40.473124,-80.062598
40.426751,-80.004641
40.422453,-79.885302
40.395816,-79.997403
40.278022,-79.837547
40.496714,-79.926033
40.428967,-79.989023
40.431339,-80.010762
40.349044,-79.817798
40.392207,-80.061257
40.497549,-80.058938
40.397238,-80.03548
40.368932,-79.914005
40.403638,-79.869559
40.51961,-80.166401
40.435614,-79.96088
40.498863,-79.85316
40.376274,-79.894553
40.337461,-79.977244
40.567824,-80.02325
40.422044,-79.991713
40.465584,-80.06193
40.414053,-79.988023
40.609868,-79.741569
40.365139,-80.019469
40.462454,-79.949999
40.298348,-79.993658
40.534703,-80.065129
40.521242,-80.004588
40.438817,-79.741022
40.521267,-80.219777
40.568368,-79.803954
40.440254,-80.071174
40.351707,-79.829165
40.359269,-79.907848
40.428491,-79.988222
40.453472,-80.001337
40.440665,-80.000665
40.380757,-80.044191
40.385355,-79.973001
40.274669,-79.883592
40.442694,-79.867069
40.420038,-79.928022
40.498662,-79.944097
40.533915,-80.053035
40.324988,-79.957677
40.540678,-79.814181
40.42805,-80.053313
40.521671,-80.005583
40.293358,-80.031019
40.474295,-80.094876
40.544999,-80.035607
40.484089,-79.818876
40.443703,-79.980664
40.493478,-80.306274
40.54535,-80.218291
40.437573,-79.977418
40.407309,-79.869172
40.458838,-79.90757
40.525828,-80.224015
40.447214,-79.905123
40.458897,-79.932637
40.473586,-80.063464
40.402631,-79.917951
40.426565,-80.056017
40.441173,-80.002364
40.467559,-79.93441
40.366344,-79.871442
40.409689,-80.082978
40.44872,-79.780666
40.423126,-79.960079
40.545311,-80.016893
40.429982,-79.923159
40.631618,-80.055692
40.435393,-79.77265
40.396745,-80.084329
40.444932,-79.88936
40.468733,-79.961717
40.427557,-79.980338
40.331327,-80.02207
40.440985,-79.742885
40.488003,-79.883677
40.382719,-79.868215
40.361538,-79.932066
40.506894,-79.843134
40.51415,-79.95942
40.546976,-80.02915
40.555705,-79.971377
40.338101,-79.807652
40.372147,-79.981536
40.173242,-80.24199
40.518266,-80.218658
40.643031,-79.937868
40.264741,-79.879445
40.629201,-79.855635
40.443227,-80.004835
40.460783,-79.913953
40.357899,-80.110312
40.596714,-79.948208
40.476384,-80.031944
40.395204,-79.839383
40.439089,-79.878795
40.535015,-80.229455
40.369823,-79.8292
40.663894,-79.934941
40.466959,-80.025229
40.45752,-79.8961
40.418907,-79.848982
40.474126,-80.057105
40.4451,-79.948482
40.426262,-79.841255
40.37177,-79.851733
40.345639,-79.849166
40.292983,-79.881361
40.408016,-79.909637
40.451847,-79.982434
40.454017,-80.05974
40.452605,-79.964261
40.401989,-79.777692
40.464939,-79.94488
40.420099,-79.997633
40.422509,-79.928598
40.453617,-79.998695
40.327631,-80.031909
40.563829,-80.227708
40.516465,-79.842597
40.465579,-79.914188
40.461804,-79.907894
40.450316,-79.985441
40.488444,-79.898703
40.491362,-79.865556
40.368707,-80.034816
40.463967,-79.932666
40.441824,-80.001535
40.462519,-79.950128
40.625991,-80.054021
40.278924,-79.874895
40.429437,-80.008009
40.440899,-80.238239
40.419694,-80.04666
40.173242,-80.24199
40.439904,-79.95801
40.601875,-79.756348
40.537383,-79.839998
40.458544,-79.908615
40.464964,-79.95759
40.548525,-79.934689
40.464747,-79.98595
40.565659,-79.9987
40.443278,-79.773673
40.477696,-79.784625
40.46336,-80.05625
40.46336,-79.991069
40.461123,-79.811884
40.437105,-79.996495
40.485217,-79.92578
40.516583,-80.02187
40.661682,-80.003907
40.417031,-80.00607
40.42973,-79.922853
40.439166,-79.966686
40.383053,-80.020965
40.395561,-80.033092
40.434751,-79.954267
40.387172,-79.82252
40.277157,-79.837797
40.426572,-80.022275
40.557547,-80.023367
40.444181,-79.81354
40.465415,-79.955315
40.464646,-79.941379
40.600196,-79.761249
40.489741,-79.819455
40.401542,-79.778113
40.476307,-79.778563
40.489993,-79.780528
40.441767,-80.000839
40.456629,-80.002082
40.542758,-79.814823
40.653924,-79.839314
40.373335,-80.119033
40.450211,-79.98572
40.494989,-80.054846
40.461868,-79.966514
40.396477,-79.998692
40.50403,-80.061799
40.361839,-79.861016
40.339959,-79.837052
40.43699,-79.954397
40.38208,-79.876636
40.471394,-80.064844
40.436981,-79.990244
40.481197,-80.130734
40.321783,-80.057607
40.494685,-79.932775
40.458405,-79.973699
40.450651,-79.972121
40.438268,-79.982097
40.447245,-79.947201
40.501966,-80.221436
40.450679,-79.934926
40.561828,-80.039532
40.582036,-79.778802
40.541803,-79.798793
40.454908,-79.711646
40.336173,-79.970867
40.634005,-80.059307
40.39754,-79.768583
40.448,-80.157482
40.437687,-79.774258
40.320335,-79.942773
40.503227,-80.222988
40.526468,-79.817038
40.43046,-79.811288
40.514787,-80.009388
40.350845,-80.022411
40.510035,-79.855995
40.625993,-80.079141
40.362516,-79.907245
40.457053,-79.89605
40.398362,-80.187505
40.43772,-80.000475
40.61395,-80.092426
40.331257,-79.845268
40.594321,-79.969859
40.357055,-80.119649
40.330738,-79.987682
40.427386,-79.718529
40.443721,-79.767945
40.419217,-79.92745
40.526263,-79.842197
40.369983,-79.786291
40.511928,-80.131934
40.333078,-79.812564
40.353945,-79.837531
40.513292,-80.153687
40.318801,-80.088453
40.324036,-79.892756
40.414006,-79.847312
40.419144,-79.849932
40.377249,-79.98595
40.452112,-79.951943
40.489247,-79.903111
40.449447,-79.950929
40.382679,-80.052638
40.366409,-80.014537
40.479566,-79.972147
40.636567,-79.942271
40.355642,-79.980084
40.45136,-80.000589
40.492161,-80.061419
40.511533,-79.946579
40.384197,-79.823629
40.364368,-80.109853
40.408932,-80.031892
40.395893,-80.022597
40.375975,-79.983538
40.391603,-80.038999
40.446748,-79.893321
40.338699,-79.959854
40.466264,-79.922323
40.420313,-79.889086
40.412254,-79.989191
40.339782,-79.810729
40.445465,-79.972421
40.449297,-79.827395
40.46105,-79.947308
40.39172,-79.765819
40.572347,-80.036602
40.51784,-80.220393
40.417998,-79.986695
40.326526,-80.065544
40.495733,-79.97691
40.475685,-80.100421
40.415715,-79.876671
40.41182,-79.876268
40.429072,-80.00699
40.444006,-80.04029
40.371517,-80.229326
40.51945,-79.842297
40.457633,-79.929286
40.272498,-79.797693
40.414525,-79.988346
40.518311,-80.167154
40.395132,-79.987094
40.341799,-79.981533
40.520986,-80.192876
40.360136,-79.87158
40.462532,-79.982963
40.524583,-79.840752
40.408719,-79.991558
40.437327,-79.981323
40.422065,-79.88589
40.321473,-80.057088
40.37529,-79.994278
40.485246,-79.856075
40.489132,-79.819982
40.511559,-79.945112
40.401268,-80.095411
40.605057,-79.926116
40.538724,-79.963405
40.459326,-79.926757
40.58623,-80.043109
40.517729,-80.221197
40.461125,-79.841874
40.525375,-79.841699
40.667086,-79.712426
40.405626,-80.018414
40.4167,-77.197887
40.520554,-80.025232
40.430551,-79.81547
40.453283,-80.020292
40.350695,-79.874877
40.567233,-80.007372
,
40.342387,-79.984112
40.477243,-79.785988
40.415887,-79.848706
40.571191,-79.952845
40.383771,-80.014178
40.173242,-80.24199
40.34505,-79.84648
40.536931,-80.013056
40.407339,-79.912407
40.397454,-80.085297
40.429437,-80.008009
40.27992,-79.875571
40.451602,-79.999575
22.335921,114.139154
40.458793,-80.16586
40.402736,-79.921653
40.382204,-79.819697
40.363877,-79.967841
40.46207,-79.949355
40.483141,-79.948537
40.448199,-79.895475
40.517576,-80.216199
40.522828,-80.006531
40.593769,-80.006113
40.427119,-79.834796
40.39314,-79.986896
40.412485,-79.910258
40.33883,-80.024575
40.371962,-79.786944
40.521533,-80.069181
40.33967,-79.949746
40.491695,-80.198665
40.460094,-79.923852
40.467816,-80.097642
40.173242,-80.24199
40.516789,-80.038918
40.350968,-79.913673
40.357456,-80.002268
40.392634,-80.065436
40.561532,-80.205346
40.435676,-79.92248
40.584311,-80.038848
40.440641,-80.149132
40.432471,-79.751203
40.431009,-79.976705
40.422266,-79.929584
40.347243,-79.83109
40.489185,-80.044203
40.557915,-80.023156
40.211943,-76.769826
40.438817,-79.741022
40.436883,-79.857683
40.462359,-79.826919
40.632132,-80.054286
40.456537,-79.934434
40.347078,-80.046641
40.488233,-79.893913
40.537858,-79.838724
40.537733,-79.965145
40.631549,-79.952845
40.333786,-79.947122
40.431969,-79.800107
40.475924,-79.78621
40.471465,-79.986641
40.462692,-79.865275
40.374756,-79.846986
40.36758,-80.017161
40.441526,-79.920551
40.425705,-79.886584
40.401873,-77.019558
40.51331,-79.950785
40.519816,-80.018098
40.497124,-79.969628
40.344781,-79.946778
40.430663,-80.051961
40.373678,-79.873734
40.468566,-80.02666
40.497135,-80.060313
40.399677,-80.043413
40.554967,-79.972178
40.341084,-80.024743
40.43292,-79.817603
40.440192,-80.241214
40.440451,-80.072306
40.442146,-79.981719
40.565722,-79.803982
40.449585,-80.177954
40.436431,-79.799629
40.534232,-80.067889
40.343793,-79.949018
40.321825,-79.834567
40.337364,-79.805396
40.367163,-80.110119
40.442803,-79.884174
40.404781,-79.990531
40.321825,-79.834567
40.173242,-80.24199
40.636471,-79.941762
40.361016,-79.906553
40.460909,-79.921909
40.340135,-80.054802
40.60823,-79.833146
40.570437,-80.022243
40.459303,-79.919178
40.351139,-80.051011
40.498933,-79.818468
40.341762,-79.946461
40.447712,-80.176111
40.38722,-79.8247
40.646955,-79.713092
40.564069,-79.804052
40.45852,-79.928707
40.39721,-77.025796
40.366498,-79.9829
40.44177,-80.087015
40.352,-79.856045
40.348876,-80.052248
40.4497,-79.985758
40.378296,-79.991494
40.324262,-79.956892
40.43557,-79.768914
40.34505,-79.84648
40.394595,-80.021685
40.650509,-80.078238
40.463648,-79.952803
40.46186,-79.948546
40.410007,-80.024988
40.440974,-79.958169
40.435043,-79.753389
40.369718,-79.98215
40.435463,-79.923124
